CustomerID,Recency,Frequency,Monetary,Average_Order_Value,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,325,1,77183.6,77183.6,1,1,5,115,Lost Customers
12347.0,129,5,2790.86,558.17,4,4,5,445,Champions
12348.0,248,3,1487.24,495.75,2,4,4,244,At Risk
12350.0,309,1,334.40000000000003,334.4,1,1,2,112,Lost Customers
12352.0,261,5,1561.81,312.36,2,4,4,244,At Risk
12353.0,203,1,89.0,89.0,2,1,1,211,Lost Customers
12354.0,231,1,1079.4,1079.4,2,1,4,214,Lost Customers
12355.0,213,1,459.40000000000003,459.4,2,1,3,213,Lost Customers
12356.0,245,2,2753.08,1376.54,2,3,5,235,Lost Customers
12358.0,150,1,484.86,484.86,3,1,3,313,Need Attention
12359.0,189,3,3495.73,1165.24,2,4,5,245,At Risk
12360.0,112,2,1618.28,809.14,4,3,4,434,Potential Loyalists
12361.0,286,1,189.9,189.9,1,1,1,111,Lost Customers
12362.0,119,4,1747.3500000000001,436.84,4,4,5,445,Champions
12363.0,109,2,552.0,276.0,5,3,3,533,Potential Loyalists
12364.0,111,1,623.92,623.92,4,1,3,413,Potential Loyalists
12365.0,290,2,641.38,320.69,1,3,3,133,Lost Customers
12370.0,274,3,2802.66,934.22,1,4,5,145,At Risk
12372.0,212,2,914.9200000000001,457.46,2,3,4,234,Lost Customers
12373.0,310,1,364.6,364.6,1,1,2,112,Lost Customers
12375.0,97,1,230.3,230.3,5,1,2,512,Potential Loyalists
12377.0,314,2,1628.1200000000001,814.06,1,3,4,134,Lost Customers
12378.0,129,1,4008.62,4008.62,4,1,5,415,Potential Loyalists
12379.0,169,1,459.84,459.84,3,1,3,313,Need Attention
12380.0,185,1,607.5500000000001,607.55,3,1,3,313,Need Attention
12381.0,119,1,1268.74,1268.74,4,1,4,414,Potential Loyalists
12383.0,184,5,1850.56,370.11,3,4,5,345,Need Attention
12384.0,121,1,292.69,292.69,4,1,2,412,Potential Loyalists
12386.0,337,2,401.9,200.95,1,3,2,132,Lost Customers
12388.0,147,4,1668.3400000000001,417.08,3,4,5,345,Need Attention
12393.0,245,3,1061.1000000000001,353.7,2,4,4,244,At Risk
12394.0,216,1,381.08,381.08,2,1,2,212,Lost Customers
12395.0,111,8,1899.57,237.45,4,5,5,455,Champions
12397.0,134,1,1214.81,1214.81,4,1,4,414,Potential Loyalists
12399.0,118,4,1108.65,277.16,4,4,4,444,Champions
12401.0,302,1,84.3,84.3,1,1,1,111,Lost Customers
12402.0,322,1,225.60000000000002,225.6,1,1,2,112,Lost Customers
12405.0,148,1,1710.39,1710.39,3,1,5,315,Need Attention
12406.0,183,1,1621.25,1621.25,3,1,4,314,Need Attention
12407.0,133,4,1407.36,351.84,4,4,4,444,Champions
12408.0,98,4,2134.05,533.51,5,4,5,545,Champions
12409.0,182,1,6207.08,6207.08,3,1,5,315,Need Attention
12410.0,308,2,693.33,346.66,1,3,3,133,Lost Customers
12412.0,137,2,890.74,445.37,4,3,4,434,Potential Loyalists
12413.0,235,2,563.9,281.95,2,3,3,233,Lost Customers
12414.0,216,3,562.4100000000001,187.47,2,4,3,243,At Risk
12415.0,98,15,102087.88,6805.86,5,5,5,555,Champions
12417.0,106,7,2816.52,402.36,5,5,5,555,Champions
12418.0,112,1,668.58,668.58,4,1,3,413,Potential Loyalists
12421.0,114,3,628.5600000000001,209.52,4,4,3,443,Loyal Customers
12422.0,95,3,803.5600000000001,267.85,5,4,4,544,Champions
12423.0,100,7,1650.67,235.81,5,5,4,554,Champions
12424.0,162,2,1760.96,880.48,3,3,5,335,Need Attention
12426.0,194,1,582.73,582.73,2,1,3,213,Lost Customers
12427.0,371,1,303.5,303.5,1,1,2,112,Lost Customers
12428.0,119,8,7548.12,943.52,4,5,5,455,Champions
